player,team,position,season,games_played,minutes,points,rebounds,assists,steals,blocks,fg_pct,three_pct,ft_pct,usage_rate,win_shares
Jayson Tatum,BOS,SF,2024,74,36.5,27.1,8.2,4.4,1.1,0.7,0.473,0.375,0.851,30.8,10.2
Jaylen Brown,BOS,SG,2024,72,34.0,24.0,6.1,3.6,1.1,0.5,0.491,0.359,0.764,28.1,7.5
Jrue Holiday,BOS,PG,2024,70,32.4,18.5,5.4,6.1,1.7,0.6,0.485,0.384,0.845,22.3,8.6
Bam Adebayo,MIA,C,2024,73,34.5,20.2,10.3,4.2,1.1,1.1,0.546,0.167,0.786,26.6,9.2
Jimmy Butler,MIA,SF,2024,61,33.1,23.4,6.6,5.2,1.8,0.4,0.540,0.353,0.858,27.4,7.7
Tyler Herro,MIA,SG,2024,68,32.8,21.3,5.1,4.3,0.8,0.2,0.452,0.389,0.875,25.9,5.1
Nikola Jokic,DEN,C,2024,72,33.8,26.8,12.3,8.9,1.4,0.8,0.571,0.341,0.832,29.6,15.5
Jamal Murray,DEN,PG,2024,65,32.5,22.1,4.3,6.7,1.2,0.3,0.473,0.405,0.876,27.1,6.3
Michael Porter Jr.,DEN,SF,2024,74,30.1,18.3,6.9,2.4,0.7,0.5,0.489,0.412,0.793,20.3,5.4
LeBron James,LAL,SF,2024,70,35.2,25.4,7.9,7.2,1.3,0.6,0.521,0.389,0.744,30.2,10.1
Anthony Davis,LAL,PF,2024,69,34.8,24.8,12.5,3.6,1.4,2.3,0.553,0.280,0.814,28.7,12.4
D'Angelo Russell,LAL,PG,2024,76,32.1,18.9,3.4,6.3,1.0,0.3,0.471,0.412,0.829,23.0,5.9
Stephen Curry,GSW,PG,2024,73,34.1,28.1,5.2,6.5,1.2,0.4,0.469,0.414,0.916,31.9,9.6
Klay Thompson,GSW,SG,2024,74,32.3,19.6,3.9,2.4,0.6,0.4,0.438,0.399,0.874,24.2,4.8
Draymond Green,GSW,PF,2024,66,30.5,9.6,7.1,7.4,1.5,0.8,0.507,0.310,0.724,16.5,6.2
Giannis Antetokounmpo,MIL,PF,2024,72,34.2,30.2,11.5,5.8,1.2,1.4,0.611,0.296,0.652,34.7,12.0
Damian Lillard,MIL,PG,2024,70,35.0,27.4,4.5,7.3,1.0,0.3,0.452,0.374,0.908,30.5,8.1
Khris Middleton,MIL,SF,2024,62,31.2,18.1,5.6,5.0,1.1,0.4,0.478,0.392,0.881,24.4,5.6
Devin Booker,PHX,SG,2024,71,34.6,27.8,4.9,6.8,1.1,0.5,0.502,0.384,0.882,31.4,8.9
Kevin Durant,PHX,SF,2024,70,35.1,29.6,7.0,5.7,0.9,1.3,0.561,0.413,0.913,32.1,10.5
Bradley Beal,PHX,SG,2024,60,32.4,20.5,4.4,4.8,1.0,0.4,0.481,0.401,0.876,26.0,4.3
Jalen Brunson,NYK,PG,2024,77,35.0,28.4,3.5,6.7,1.0,0.2,0.491,0.401,0.874,30.8,9.4
Julius Randle,NYK,PF,2024,65,34.2,24.1,9.8,4.5,0.9,0.4,0.458,0.336,0.756,28.8,7.1
Mikal Bridges,NYK,SF,2024,82,34.8,19.2,4.7,3.6,1.2,0.6,0.463,0.379,0.878,22.7,6.0
