date,season,team,opponent,home,team_points,opponent_points,pace,offensive_rating,defensive_rating,rebound_pct,assist_ratio
2023-10-24,2024,DEN,Los Angeles Lakers,1,119,107,,,,,
2023-10-24,2024,PHO,Golden State Warriors,0,108,104,,,,,
2023-10-24,2024,GSW,Phoenix Suns,1,104,108,,,,,
2023-10-24,2024,LAL,Denver Nuggets,0,107,119,,,,,
2023-10-25,2024,ATL,Charlotte Hornets,0,110,116,,,,,
2023-10-25,2024,CHI,Oklahoma City Thunder,1,104,124,,,,,
2023-10-25,2024,CHO,Atlanta Hawks,1,116,110,,,,,
2023-10-25,2024,CLE,Brooklyn Nets,0,114,113,,,,,
2023-10-25,2024,DAL,San Antonio Spurs,0,126,119,,,,,
2023-10-25,2024,DET,Miami Heat,0,102,103,,,,,
2023-10-25,2024,HOU,Orlando Magic,0,86,116,,,,,
2023-10-25,2024,IND,Washington Wizards,1,143,120,,,,,
2023-10-25,2024,LAC,Portland Trail Blazers,1,123,111,,,,,
2023-10-25,2024,MEM,New Orleans Pelicans,1,104,111,,,,,
2023-10-25,2024,MIN,Toronto Raptors,0,94,97,,,,,
2023-10-25,2024,NOP,Memphis Grizzlies,0,111,104,,,,,
2023-10-25,2024,NYK,Boston Celtics,1,104,108,,,,,
2023-10-25,2024,OKC,Chicago Bulls,0,124,104,,,,,
2023-10-25,2024,ORL,Houston Rockets,1,116,86,,,,,
2023-10-25,2024,POR,Los Angeles Clippers,0,111,123,,,,,
2023-10-25,2024,SAC,Utah Jazz,0,130,114,,,,,
2023-10-25,2024,SAS,Dallas Mavericks,1,119,126,,,,,
2023-10-25,2024,TOR,Minnesota Timberwolves,1,97,94,,,,,
2023-10-25,2024,UTA,Sacramento Kings,1,114,130,,,,,
2023-10-25,2024,WAS,Indiana Pacers,0,120,143,,,,,
2023-10-25,2024,BRK,Cleveland Cavaliers,1,113,114,,,,,
2023-10-25,2024,BOS,New York Knicks,0,108,104,,,,,
2023-10-25,2024,MIA,Detroit Pistons,1,103,102,,,,,
2023-10-26,2024,PHI,Milwaukee Bucks,0,117,118,,,,,
2023-10-26,2024,MIL,Philadelphia 76ers,1,118,117,,,,,
2023-10-26,2024,LAL,Phoenix Suns,1,100,95,,,,,
2023-10-26,2024,PHO,Los Angeles Lakers,0,95,100,,,,,
2023-10-27,2024,BOS,Miami Heat,1,119,111,,,,,
2023-10-27,2024,ATL,New York Knicks,1,120,126,,,,,
2023-10-27,2024,ORL,Portland Trail Blazers,0,102,97,,,,,
2023-10-27,2024,HOU,San Antonio Spurs,0,122,126,,,,,
2023-10-27,2024,CHO,Detroit Pistons,1,99,111,,,,,
2023-10-27,2024,DAL,Brooklyn Nets,1,125,120,,,,,
2023-10-27,2024,BRK,Dallas Mavericks,0,120,125,,,,,
2023-10-27,2024,LAC,Utah Jazz,0,118,120,,,,,
2023-10-27,2024,MIA,Boston Celtics,0,111,119,,,,,
2023-10-27,2024,TOR,Chicago Bulls,0,103,104,,,,,
2023-10-27,2024,UTA,Los Angeles Clippers,1,120,118,,,,,
2023-10-27,2024,SAS,Houston Rockets,1,126,122,,,,,
2023-10-27,2024,GSW,Sacramento Kings,0,122,114,,,,,
2023-10-27,2024,MEM,Denver Nuggets,1,104,108,,,,,
2023-10-27,2024,CLE,Oklahoma City Thunder,1,105,108,,,,,
2023-10-27,2024,SAC,Golden State Warriors,1,114,122,,,,,
2023-10-27,2024,POR,Orlando Magic,1,97,102,,,,,
2023-10-27,2024,DET,Charlotte Hornets,0,111,99,,,,,
2023-10-27,2024,DEN,Memphis Grizzlies,0,108,104,,,,,
2023-10-27,2024,CHI,Toronto Raptors,1,104,103,,,,,
2023-10-27,2024,OKC,Cleveland Cavaliers,0,108,105,,,,,
